Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Canada,CAN,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.49513979,72.17830582,73.28896894,72.46221588,71.57402455,72.38105329,73.07829499,74.61333823,75.74162993,75.54351942,76.47575936,76.52726586,75.64270699,76.90034029,75.96081832,76.21881159,72.90413559,73.45770128,75.97045572,76.04636979,76.64078275,76.5825123,75.37327377,73.89261975,74.30729404,73.51674297,0,0,0,0,0,0,0,0,0,
Central Europe and the Baltics,CEB,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,98.24690312,98.30405989,98.39621715,98.42085721,98.51842371,97.81227336,97.80813346,97.73769234,97.84306046,97.69032809,97.99588636,97.75131941,97.64559402,97.75988318,97.52833948,97.54786411,97.46301961,96.94853306,97.24783529,97.48717969,97.11355254,96.55742896,96.55668898,96.21906218,95.74603926,95.01893745,94.51202461,94.02746948,93.29783739,93.22472289,90.83944745,90.34664233,89.93343009,88.8380944,88.22484073,87.93452474,87.55815415,86.89589605,86.52592545,86.17935652,85.78950841,85.64218169,84.82702873,85.0421267,84.36608454,84.03887776,84.20907565,84.1233763,82.6191293,80.67115933,81.05963271,80.90333909,79.20130067,78.35888387,77.332055,77.44070177,77.74402142,77.93781704,76.6274803,75.19231628,73.76299879,74.94547193,74.55258909,72.57691114,72.75298988,
Switzerland,CHE,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.6447124,58.89157638,58.87437565,57.72955849,57.71900328,56.1648198,56.36135053,57.4153312,57.10730502,56.02702013,54.58004884,56.2522317,54.70125511,54.042508,54.23494517,55.76133929,54.12136723,51.78668213,52.80675592,53.56485559,51.92904197,50.77308473,51.34729823,52.57682327,49.20436267,50.71845977,0,0,0,0,0,0,0,0,0,
Channel Islands,CHI,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.15250049,68.03335177,66.35270855,68.07108824,69.82064026,70.00479241,72.38859155,74.65203815,75.52268234,77.15874848,74.50531481,73.10035778,73.19423802,74.55699516,75.17630643,74.23769624,74.00218769,76.01976567,75.17727734,73.4651837,77.5945605,76.66429484,70.04969463,68.97232566,76.06383941,75.72996832,0,0,0,0,0,0,0,0,0,
China,CHN,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.09675247,74.45463613,75.0325612,76.03419109,76.56558192,77.88945087,78.69663462,78.5088665,78.71810377,79.20040881,79.92246261,80.83314585,81.92179285,84.2309775,86.09237233,87.37099476,88.28426538,89.30917398,89.52115712,90.16127127,90.80662758,91.42473188,91.14921918,91.00012191,89.55484002,71.06955889,0,0,0,0,0,0,0,0,,
Cote d'Ivoire,CIV,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.70127587,23.31836934,27.59466622,28.54956476,28.24170323,25.14671833,32.01365905,32.10315004,30.82190443,40.8853462,37.12388082,34.29236765,37.84229578,32.49572238,24.92616863,25.38667906,21.44519923,24.24902509,24.6123145,22.71372294,28.40641946,25.66551279,30.04532408,33.75674127,34.15951913,3.190317745,0,0,0,0,0,0,0,0,,
Cameroon,CMR,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.70794015,17.38610197,16.10826758,16.65185061,16.90210881,16.071919,15.68728877,16.04263295,16.25015791,14.55386334,16.20269775,15.42417693,15.29926185,16.0987189,16.11994031,14.78368682,16.95520519,28.75680031,27.49680834,30.73830922,30.99606252,27.17657494,31.83446895,32.4081828,33.42830767,4.345270038,0,0,0,0,0,0,0,0,,
"Congo, Dem. Rep.",COD,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.16063056,8.778254876,7.864729777,7.350137002,4.709277134,5.492268571,5.814225315,4.765222719,4.125267987,3.090083846,2.036207404,1.639452003,1.714151542,2.01464224,2.111856131,2.545199809,2.677185718,2.87221323,3.065734889,2.741026806,3.075180803,3.692565532,2.884457378,4.237526674,5.459297134,3.107860858,0,0,0,0,0,0,0,0,,
"Congo, Rep.",COG,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.25250736,35.20305716,33.01517683,32.092804,20.36902533,29.6446218,22.0318679,18.56132841,15.82276646,16.68146437,26.17783552,29.35871521,24.25457412,32.50596892,32.10942271,33.33490987,28.97117015,35.20768765,35.49446417,40.27541464,39.20737855,38.85742507,37.15574492,45.53653117,39.3139925,7.074613539,0,0,0,0,0,0,0,0,,
Colombia,COL,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.32213718,67.12465535,68.73252036,68.56486012,66.92546561,67.39831705,67.94225298,73.55721911,75.96475246,71.811433,74.38894053,74.81922777,73.13337712,72.18095573,73.46617925,74.06327718,73.23621133,72.45416122,72.6526623,74.28645206,75.69099404,72.76355585,75.52811515,62.8236873,62.44902301,27.28970099,0,0,0,0,0,0,0,0,0,
Comoros,COM,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.52843837,59.40608995,58.76310149,58.56922964,57.93544176,59.28270083,57.24848672,58.91795119,63.72839158,61.00516278,59.02628333,57.20015118,54.76773399,56.63890482,47.92945689,46.80150969,47.40552774,49.76193749,50.29397585,48.61877509,48.51929773,49.08901355,47.74423049,47.83035571,48.23774662,47.28099304,0,0,0,0,0,0,0,0,0,
Caribbean small states,CSS,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,98.55771856,98.50659368,99.0733565,98.65988189,98.58966721,98.5501371,98.78726446,99.02932961,99.08979734,99.21458836,99.28962584,99.28680016,99.30286749,99.38496836,99.16787668,98.88296672,98.65157919,98.93825682,98.96742808,76.78267907,99.02,99.1,99.09,99.01,99.29,99.41,99.4,99.44,99.49,98.53551034,98.6592747,98.68392043,98.93811711,85.93227145,87.34590708,88.23268601,88.68609574,99.11728606,99.12394071,99.28868914,99.36232427,99.42374053,99.41842093,99.54847812,99.57083173,99.38550996,99.31537554,99.28119073,99.31543697,99.22401071,99.24487323,99.27223627,99.07009742,,
